baseline,ticket_id,product,component,priority,expected_assignee,predicted_assignee,rank,reciprocal_rank,is_top1_correct,is_hit_at_3,is_hit_at_5,is_hit_at_10,error_type,ranked_candidates,title
global_majority,bmo_1884275,core,audio/video: playback,P2,dev_0003,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Crash in [@ D3DKMTUnregisterTrimNotification]
global_majority,bmo_1884278,firefox,firefox view,P3,dev_0007,dev_0060,7,0.14285714285714285,False,False,False,True,long_tail_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Add an exception from a11y_checks for clicks on a not focusable pinned media button on Firefox View
global_majority,bmo_1884281,core,dom: editor,--,dev_0040,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,"Assertion failure: mStart.EqualsOrIsBefore(mEnd), at /builds/worker/workspace/obj-build/dist/include/mozilla/EditorDOMPoint.h:1290"
global_majority,bmo_1884297,core,gecko profiler,--,dev_0043,dev_0060,,0.0,False,False,False,False,long_tail_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,tools/profiler/core/platform.cpp:118:12: fatal error: 'nsCocoaFeatures.h' file not found
global_majority,bmo_1884314,core,graphics: text,--,dev_0026,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,IOSPlatformFontList::InitSystemFontNames and IOSPlatformFontList::GetDefaultFontForPlatform return empty strings
global_majority,bmo_1884322,firefox,firefox view,--,dev_0033,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Any key will toggle mute/unmute button in Fx View
global_majority,bmo_1884347,core,security: process sandboxing,P1,dev_0028,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,AppArmor user namespace creation restrictions cause many applications (including Firefox tabs) to crash with SIGTRAP or SIGSEGV
global_majority,bmo_1884349,core,networking: http,P1,dev_0034,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,firefox didn't load any page
global_majority,bmo_1884360,core,javascript engine,P2,dev_0025,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Reimplement Array.prototype.sort with a JIT trampoline
global_majority,bmo_1884368,core,javascript engine: jit,--,dev_0025,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Retire jit::GetPcScript and PcScriptCache
global_majority,bmo_1884407,firefox,profile backup,P1,dev_0041,dev_0060,,0.0,False,False,False,False,cold_start_component,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Add a probe to measure available disk space for profile directory storage device
global_majority,bmo_1884417,firefox,tabbed browser,P2,dev_0015,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Address UX feedback for Tab Hover Preview
global_majority,bmo_1884427,core,javascript: gc,P1,dev_0024,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Crash [@ js::CheckTracedThing]
global_majority,bmo_1884435,firefox,address bar,P1,dev_0001,dev_0060,,0.0,False,False,False,False,wrong_assignee,dev_0060|dev_0019|dev_0054|dev_0011|dev_0038|dev_0048|dev_0007|dev_0055|dev_0006|dev_0022,Remove bounding box / stroke from Yelp Suggestions UI
